film_id,title,year,person_id,person_name,role,characters
DMP,Bhaktha Prahladha,1942,chitrapu-narayanamurthy,Chitrapu Narayanamurthy,director,
DGJ,Bhale Pelli and Tarumaru,1942,s-jagannath,S. Jagannath,director,
DNI,Deenabandhu,1942,m-l-tandon,M.L. Tandon,director,
DOE,Jeevanmukthi,1942,lanka-satyam,Lanka Satyam,director,
DPW,Patni,1942,gudavalli-ramabrahmam,Gudavalli Ramabrahmam,director,
DQW,Santha Balanagamma,1942,s-v-s-ramarao,S.V.S. Ramarao,director,
DQQ,Satyabhama,1942,y-v-rao,Y.V. Rao,director,
DRH,Sumathi,1942,kadaru-nagabhushanam,Kadaru Nagabhushanam,director,
DSW,Bhagyalakshmi,1943,p-pullaiah,P. Pullaiah,director,
DMO,Bhakta Potana,1943,kadiri-venkata-reddi,Kadiri Venkata Reddi,director,
DTW,Garuda Garvabangam,1943,ghantasala-balaramaiah,Ghantasala Balaramaiah,director,
DUT,Krishna Prema,1943,h-v-babu,H.V. Babu,director,
DWB,Panthulamma,1943,gudavalli-ramabrahmam,Gudavalli Ramabrahmam,director,
DWD,Pathi Bhakthi,1943,p-s-srinivasa-rao,P.S. Srinivasa Rao,director,
DNV,Satyame Jayam,1943,h-m-reddy,H.M. Reddy,director,
BMLO,Anavasara Prayanam,1944,a-p-sinha,A.P. Sinha,director,
DYN,Bhakta Kabir,1944,chitrapu-narayanamurthy,Chitrapu Narayanamurthy,director,
DTD,Chenchu Lakshmi,1944,s-soundararajan,S. Soundararajan,director,
EBD,Oka Roju Raju,1944,aamancharla,Aamancharla,director,
ECC,Samsara Naradi,1944,chitrapu-narayanamurthy,Chitrapu Narayanamurthy,director,
DQU,Sri Seeta Rama Jananam,1944,ghantasala-balaramaiah,Ghantasala Balaramaiah,director,
ECQ,Thasildar,1944,y-v-rao,Y.V. Rao,director,
DYT,Bheeshma,1945,chitrapu-narayanamurthy,Chitrapu Narayanamurthy,director,
EEX,Maya Lokam,1945,gudavalli-ramabrahmam,Gudavalli Ramabrahmam,director,
EFH,Paduka Pattabhishekham,1945,kadaru-nagabhushanam,Kadaru Nagabhushanam,director,
EFX,Returning Soldier,1945,ellis-duncan,Ellis Duncan,director,
EGM,Valmiki,1945,m-l-tandon,M.L. Tandon,director,
EGM,Valmiki,1945,ellis-duncan,Ellis Duncan,director,
EHM,Bhaktha Tulasidas,1946,lanka-satyam,Lanka Satyam,director,
EIU,Gruha Pravesam,1946,l-v-prasad,L.V. Prasad,director,
EKP,Mangala Suthram,1946,d-s-kotnis,D.S. Kotnis,director,
EEW,Maya Machindra,1946,p-pullaiah,P. Pullaiah,director,
EKV,Mugguru Maratilu,1946,ghantasala-balaramaiah,Ghantasala Balaramaiah,director,
EKY,Narada Naradi,1946,c-pullaiah,C. Pullaiah,director,
EGI,Swargaseema,1946,b-n-reddi,B.N. Reddi,director,
ENP,Thyagayya,1946,chittor-v-nagaiah,Chittor V. Nagaiah,director,
ENY,Vanarani,1946,athyam-soorya,Athyam Soorya,director,
EPP,Brahma Radham,1947,chitrapu-narayanamurthy,Chitrapu Narayanamurthy,director,
ERR,Gollabhama,1947,c-pullaiah,C. Pullaiah,director,
EVG,Palnati Yuddham,1947,l-v-prasad,L.V. Prasad,director,
EVG,Palnati Yuddham,1947,gudavalli-ramabrahmam,Gudavalli Ramabrahmam,director,
EMT,Setubandhanam,1947,madhukar,Madhukar,director,
EOA,Varudhini,1947,b-v-ramanandam,B.V. Ramanandam,director,
EYD,Yogi Vemana,1947,kadiri-venkata-reddi,Kadiri Venkata Reddi,director,
EZG,Bala Raju,1948,ghantasala-balaramaiah,Ghantasala Balaramaiah,director,
EZW,Bhaktha Sriyala,1948,g-r-rao,G.R. Rao,director,
FBC,Drohi,1948,l-v-prasad,L.V. Prasad,director,
FBL,Geethanjali,1948,thangirala-hanumantha-rao,Thangirala Hanumantha Rao,director,
FDM,Madhalasa,1948,chitrapu-narayanamurthy,Chitrapu Narayanamurthy,director,
EVT,Radhika,1948,v-p-t-sadasiva-brahmam,V.P.T. Sadasiva Brahmam,director,
EWB,Ratnamala,1948,p-ramakrishna,P. Ramakrishna,director,
FHJ,Suvarna Mala,1948,kallakuri-sadasivarao,Kallakuri Sadasivarao,director,
FIA,Vindhyarani,1948,c-pullaiah,C. Pullaiah,director,
CIDZ,Brahma Ratham,1949,chitrapu-narayana-rao,Chitrapu Narayana Rao,director,
FKR,Dharmamgada,1949,h-v-babu,H.V. Babu,director,
FLQ,Gunasundhari Katha,1949,kadiri-venkata-reddi,Kadiri Venkata Reddi,director,
FMX,Keelu Gurram,1949,mirjapuram-raja,Mirjapuram Raja,director,
FNI,Laila Majnu,1949,p-s-ramakrishna-rao,P.S. Ramakrishna Rao,director,
FNT,Mana Desam,1949,l-v-prasad,L.V. Prasad,director,
FIU,Nam Naadu,1949,v-shantaram,V. Shantaram,director,
FPR,Raksharekha,1949,r-padmanaban,R. Padmanaban,director,
ELD,Aahuthi,1950,r-s-junnarkar,R.S. Junnarkar,director,
FSS,Adhrusta Deepudu,1950,s-soundararajan,S. Soundararajan,director,
AKBD,Apoorva Sahodarulu,1950,c-pullaiah,C. Pullaiah,director,
FVG,Beedhala Paatlu,1950,k-ramanath,K. Ramanath,director,
AKST,Jeevitham,1950,m-v-raman,M.V. Raman,director,
FXF,Lakshmamma,1950,tripuraneni-gopichand,Tripuraneni Gopichand,director,
FXU,Maya Rambha,1950,t-p-sundaram,T.P. Sundaram,director,
FYB,Modati Rathri,1950,k-s-prakash-rao,K.S. Prakash Rao,director,
FYP,Palleturi Pilla,1950,b-a-subbarao,B.A. Subbarao,director,
FYR,Paramanandayya Sishyulu,1950,kasturi-sivarao,Kasturi Sivarao,director,
FZX,Samsaram,1950,l-v-prasad,L.V. Prasad,director,
GAO,Shavukaru,1950,l-v-prasad,L.V. Prasad,director,
GAV,Sri Lakshmamma Katha,1950,ghantasala-balaramaiah,Ghantasala Balaramaiah,director,
FZV,Sri Sai Baba,1950,pattabhi,Pattabhi,director,
GBD,Swapna Sundari,1950,ghantasala-balaramaiah,Ghantasala Balaramaiah,director,
GBF,Thirugubatu,1950,p-pullaiah,P. Pullaiah,director,
GBH,Vaali Sugreeva,1950,jampana-chandrasekhar-rao,Jampana Chandrasekhar Rao,director,
GBT,Aada Janma,1951,g-r-rao,G.R. Rao,director,
GCA,Aakasa Raju,1951,jyotish-sinha,Jyotish Sinha,director,
GBZ,Agni Pariksha,1951,manikyam,Manikyam,director,
GDF,Chandravanka,1951,jithen-benarji,Jithen Benarji,director,
