film_id,title,year,decade,genres,director,cast,synopsis,language,country,poster_url,source_url,plot
ARIQ,Sakutumba Saparivara Sametam,2000,2000s,,S.V. Krishna Reddy,,"<a href=""/documents/POZ""><img src=""/documents/POZ/256p.jpg""></a>",Telugu,India,/static/posters/ARIQ.jpg,https://indiancine.ma/ARIQ/info,
ARIR,Sammakka Sarakka,2000,2000s,,Dasari Narayana Rao,,,Telugu,India,/static/posters/ARIR.jpg,https://indiancine.ma/ARIR/info,
BDOW,Samudram Lo Kshana Kshanam,2000,2000s,,,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BDOW/info,
BDUV,Samudrapu Dongalu,2000,2000s,,,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BDUV/info,
BKAF,Sanchalanam,2000,2000s,,Thammareddy Bharathwaja,,,Telugu,,/static/posters/BKAF.jpg,https://indiancine.ma/BKAF/info,
ARIW,Sardhukupodham Randi,2000,2000s,,S.V. Krishna Reddy,,,Telugu,India,/static/posters/ARIW.jpg,https://indiancine.ma/ARIW/info,
BDXR,Secret Agent 007,2000,2000s,,,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BDXR/info,
COPY,Shivani,2000,2000s,,,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/COPY/info,
BIVS,Siva Dass,2000,2000s,,T.S. Suresh Babu,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/BIVS/info,
ARJL,Sivaji,2000,2000s,,Sai Balaji,,,Telugu,India,/static/posters/ARJL.jpg,https://indiancine.ma/ARJL/info,
BEAB,Sivanna,2000,2000s,,K.S. Nageswara Rao,,,Telugu,India,/static/posters/BEAB.jpg,https://indiancine.ma/BEAB/info,
COQF,Sparsha,2000,2000s,,Sunil Kumar Desai,,,"Kannada, Tamil, Telugu",India,/static/placeholder_poster.svg,https://indiancine.ma/COQF/info,
BHXW,Speed,2000,2000s,,,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BHXW/info,
BGYF,Sri Sai Mahima,2000,2000s,,Ashok Kumar Agarwal,,,Telugu,,/static/posters/BGYF.jpg,https://indiancine.ma/BGYF/info,
ARJR,Sri Srimathi Satyabhama,2000,2000s,,S.V. Krishna Reddy,,,Telugu,India,/static/posters/ARJR.jpg,https://indiancine.ma/ARJR/info,
BEUA,Sthreela Kosam,2000,2000s,,Indian,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/BEUA/info,
ARJI,Subhavela,2000,2000s,,Ramana,,,Telugu,India,/static/posters/ARJI.jpg,https://indiancine.ma/ARJI/info,
BKBC,Superman,2000,2000s,,,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BKBC/info,
