film_id,title,year,decade,genres,director,cast,synopsis,language,country,poster_url,source_url,plot
VLF,Antham Kadidi Arambham,1981,1980s,,Vijayanirmala,,,Telugu,India,/static/posters/VLF.jpg,https://indiancine.ma/VLF/info,
VLT,Asha Jyothi,1981,1980s,,Tatineni Prakash Rao,,Child Artist: Tatineni Satya,Telugu,India,/static/posters/VLT.jpg,https://indiancine.ma/VLT/info,
BIXY,Atthagari Pettanam,1981,1980s,Drama,Rajachandra,,,Telugu,India,/static/posters/BIXY.jpg,https://indiancine.ma/BIXY/info,
BECY,Bandaru Pichodu,1981,1980s,,U.V. Babu,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BECY/info,
BITV,Bhakthudu Bhagavanthudu,1981,1980s,,K. Shankar,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BITV/info,
BFFH,Bhale Bullodu,1981,1980s,,,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BFFH/info,
BFSH,Bhavi Pourulu,1981,1980s,,P.M. Venkateswara Rao,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BFSH/info,
VMU,Bhoga Bhagyalu,1981,1980s,,P. Chandrasekhara Reddy,,,Telugu,India,/static/posters/VMU.jpg,https://indiancine.ma/VMU/info,
VMV,Bhogi Mantalu,1981,1980s,,Vijayanirmala,,,Telugu,India,/static/posters/VMV.jpg,https://indiancine.ma/VMV/info,
VNP,Chattaniki Kallu Levu,1981,1980s,,S.A. Chandrasekhar,,"Revenge drama with the siblings Vijay (Chiranjeevi) and Durga (Laxmi) pursuing their sister’s and father’s murderers John (Hema Sundar), Javed (Kannada Prabhakar) and Janardan (Ceylon Manohar). Durga, now a police officer, wants the murderers to be punished legally while Vijay tracks them down and kills two of them, on each occasion frustrating his sister’s invesitgations. In the end, when Durga is kidnapped by Javed, the hero rescues her and kills the last villain in her presence. The very popular film belongs to the Chiranjeevi genre of vigilante revenge dramas deployed as critiques of a corrupted legal system, here adding the motif that a female cop is no match for a macho man.",Telugu,India,/static/posters/VNP.jpg,https://indiancine.ma/VNP/info,
BINN,Chilipi Mogudu,1981,1980s,"Comedy, Romance",G.N. Rangarajan,,"This film is dubbed from Tamil film ""Meendum Kokila (1981)"".",Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/BINN/info,
VNV,Chinnari Chittibabu,1981,1980s,,N. Gopalakrishna,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/VNV/info,
VNZ,Daari Tappina Manishi,1981,1980s,,B. Narasimha Rao,,,Telugu,India,/static/posters/VNZ.jpg,https://indiancine.ma/VNZ/info,
AMQL,Dabbu Dabbu Dabbu,1981,1980s,,Ram Mohan Rao Gullapalli,,,Telugu,India,/static/posters/AMQL.jpg,https://indiancine.ma/AMQL/info,
UQO,Deeparadhana,1981,1980s,,Dasari Narayana Rao,,,Telugu,India,/static/posters/UQO.jpg,https://indiancine.ma/UQO/info,
BJLQ,Devathala Kalyanamu,1981,1980s,,"Kamalakara Kameshwara Rao, K. Shankar, P. Neelakantan",,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BJLQ/info,
VOL,Devi Darshanam,1981,1980s,,K. Shankar,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/VOL/info,
BGEW,Devi Raja Rajeswari,1981,1980s,,H.N.K. Murthy,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BGEW/info,
BIZW,Devudu Em Chestunnadu,1981,1980s,,A.P. Nagarajan,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BIZW/info,
TSP,Devudu Mavayya,1981,1980s,,K. Vasu,,"Guest Appearance: Kongara Jagaiah, Savithri Ganesan",Telugu,India,/static/posters/TSP.jpg,https://indiancine.ma/TSP/info,
BJNC,Dharma Nirnayam,1981,1980s,,Rajaram Dasu,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/BJNC/info,
BHLI,Erra Mallelu,1981,1980s,,Davala Satyam,,,Telugu,India,/static/posters/BHLI.jpg,https://indiancine.ma/BHLI/info,
SFI,Evaru Devudu,1981,1980s,,A. Bhimsingh,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/SFI/info,
