person_id,person_name,role,film_count,known_for
anisetty-subbarao,Anisetty Subbarao,director,1,NKM
anish-krishna,Anish Krishna,director,1,BFIS
anish-kuruvilla,Anish Kuruvilla,director,3,"AVOQ, BEPN, CUNX"
anjana-ali-khan,Anjana Ali Khan,director,1,BFTO
anjanaarya,Anjanaarya,director,1,BIUI
anjaneyulu,Anjaneyulu,director,1,CZOK
anji-srinu,Anji Srinu,director,1,CURH
anji-srinu-srinu-yarajala,Anji Srinu (Srinu Yarajala),director,5,"BFSW, ATCU, BEUR, BIAL, BDIN"
anjibabu-madhala,Anjibabu Madhala,director,1,BHPX
annam-chandra-shekar,Annam Chandra Shekar,director,1,CXIU
annapareddy-promode-vbr,Annapareddy Promode Vbr,director,3,"CWOA, CWSQ, DBUO"
anoop,Anoop,director,1,BRGG
anshul-sinha,Anshul Sinha,director,1,CZGB
antony,Antony,director,1,BEDP
antony-d-souza,Antony D. Souza,director,1,BDLU
antony-hickox,Antony Hickox,director,1,BGBW
antony-m-dawson,Antony M Dawson,director,1,BEBM
anu-mohan,Anu Mohan,director,3,"BHDH, BENZ, BDXH"
anu-prasad,Anu Prasad,director,6,"BUNY, BXNX, BXPO, BZEQ, CCHD"
anubhav-sinha,Anubhav Sinha,director,1,BGEQ
anudeep,Anudeep,director,1,BXRB
anuj-shrivastava,Anuj Shrivastava,director,2,"CDLL, CGAM"
anup-bhandari,Anup Bhandari,director,1,CGNS
anurag-basu,Anurag Basu,director,1,BFVO
apoorva-lakhia,Apoorva Lakhia,director,1,BBDQ
appaji-konda,Appaji Konda,director,1,BGDU
arasu,Arasu,director,1,CRVU
arigela-kondal-rao,Arigela Kondal Rao,director,1,ATLC
arivalagan,Arivalagan,director,1,BITU
arjun,Arjun,director,2,"BFBQ, BRCH"
arjun-jandyala,Arjun Jandyala,director,1,CYBL
arjun-kumar,Arjun Kumar,director,1,BRBX
arjun-reddy,Arjun Reddy,director,1,AWYO
arjun-sarja,Arjun Sarja,director,10,"BJBR, BFQU, BEEN, BILB, BGZS"
arjun-y-k,Arjun Y.K.,director,1,CFUU
aron-ayaan,Aron Ayaan,director,3,"BTYD, BURF, CGLP"
aroor-pattabhi,Aroor Pattabhi,director,2,"BIVW, BIMY"
arpudhan,Arpudhan,director,2,"ATIS, BJLH"
arshad-khan,Arshad Khan,director,1,CDDV
arun-dasyam,Arun Dasyam,director,2,"BFWH, BRKE"
arun-iqbal-khan-chowdary,Arun Iqbal Khan Chowdary,director,1,CGGY
arun-krishna,Arun Krishna,director,1,BIXS
arun-kumar,Arun Kumar,director,1,BDVA
arun-kumar-pujari,Arun Kumar Pujari,director,1,CFSN
arun-pandian,Arun Pandian,director,2,"BJWG, BHIJ"
arun-pawar,Arun Pawar,director,2,"BEZP, BXYM"
arun-raj,Arun Raj,director,1,BHDI
arun-rudra,Arun Rudra,director,1,BEFB
arun-singaraju,Arun Singaraju,director,1,AYDE
arunakanth,Arunakanth,director,1,BFGM
arvind-siddharth,Arvind Siddharth,director,1,BYPW
arya-ayaan,Arya Ayaan,director,3,"BTYD, BURF, CGLP"
aryans-kartheek-kandhi,Aryans Kartheek Kandhi,director,1,BXHU
asha-khan,Asha Khan,director,2,"BJIW, BJLD"
ashish-ray,Ashish Ray,director,1,DASO
ashok-alle,Ashok Alle,director,1,BFRW
ashok-bhushan,Ashok Bhushan,director,1,BJQG
ashok-g,Ashok G.,director,1,CDTE
ashok-koralath,Ashok Koralath,director,1,CZLR
ashok-kumar-agarwal,Ashok Kumar Agarwal,director,9,"ACKY, AEAL, BDOJ, BJON, AGSC"
ashok-raj,Ashok Raj,director,1,CRSL
ashok-reddy-yaramada,Ashok Reddy Yaramada,director,1,BHDX
ashokan,Ashokan,director,1,BHUP
ashutosh-gowariker,Ashutosh Gowariker,director,1,BJFQ
ashwak-anjibabu-madhala,Ashwak Anjibabu Madhala,director,1,BFWB
ashwin-kumar-madasu,Ashwin Kumar Madasu,director,1,DABQ
ashwin-saravanan,Ashwin Saravanan,director,1,CXXY
ashwini-kumar,Ashwini Kumar,director,1,AECJ
asish-kumar,Asish Kumar,director,1,BGOE
aswani-kumar-v,Aswani Kumar V.,director,1,CYLG
aswin-kumar,Aswin Kumar,director,1,BEEH
atagjendrad,Atagjendrad,director,1,BEGR
athyam-soorya,Athyam Soorya,director,1,ENY
atlee,Atlee,director,2,"BJFI, BIHB"
atlee-kumar,Atlee Kumar,director,2,"BYNZ, CBFC"
atluri-madhusudhana-rao,Atluri Madhusudhana Rao,director,1,BIZB
atul-garg,Atul Garg,director,1,CRKO
avasarala-srinivas,Avasarala Srinivas,director,2,"BJAY, BENY"
avinash-kokati,Avinash Kokati,director,1,CZQY
ayodhya-kumar-krishnam-shetty,Ayodhya Kumar Krishnam Shetty,director,1,BISE
ayodhyakumar-krishnamsetty,Ayodhyakumar Krishnamsetty,director,2,"CUQH, CDER"
ayyappa-p-sharma,Ayyappa P. Sharma,director,4,"BHRC, BFXV, BGBH, BGFA"
azggar-alii,Azggar Alii,director,1,DBQX
aziz-naser,Aziz Naser,director,1,AXMU
b-ashok-rao,B. Ashok Rao,director,1,BHPS
b-balakrishna-reddy,B. Balakrishna Reddy,director,1,BDZN
b-bhaskar-rao,B. Bhaskar Rao,director,19,"QJL, SWY, WOE, WYZ, BIRH"
b-chinni-krishna,B. Chinni Krishna,director,2,"AZKO, BGOX"
b-dorairaj,B. Dorairaj,director,1,BEQA
b-gopal,B. Gopal,director,26,"ABGA, ABQV, ACMQ, ADDC, AEHO"
b-harinarayana,B. Harinarayana,director,5,"BHKQ, OPN, PGS, QAL, BDZP"
b-harinaryana,B. Harinaryana,director,1,CKIT
b-jafar,B. Jafar,director,1,BJQC
b-jaya,B. Jaya,director,6,"ASPI, AUBY, BIGS, AWCR, BAEL"
b-jeevan-reddy,B. Jeevan Reddy,director,1,CXYR
b-krishna-reddy,B. Krishna Reddy,director,1,BDRE
b-mallesh,B. Mallesh,director,1,BHGA
b-narasimha-rao,B. Narasimha Rao,director,1,VNZ
b-narasinga-rao,B. Narasinga Rao,director,6,"YAG, ABXZ, BLMO, ACPE, AEZH"
b-nityanandam,B. Nityanandam,director,1,BDSN
b-padmanabam,B. Padmanabam,director,8,"NQE, NXQ, BCFC, OUZ, QJH"
b-prithviraj,B. Prithviraj,director,1,BDKN
b-raja,B. Raja,director,1,BFFA
b-ramamurthy,B. Ramamurthy,director,1,BGES
b-ramesh-rayulu,B. Ramesh Rayulu,director,1,BGZZ
b-ramyasri,B. Ramyasri,director,1,BILQ
b-sai-krishna,B. Sai Krishna,director,1,APRO
b-satya,B. Satya,director,2,"BFFP, BFMK"
b-satya-naidu,B. Satya Naidu,director,2,"ACKJ, ASHV"
b-subhash,B. Subhash,director,1,BKBP
b-sukumar,B. Sukumar,director,5,"ATCY, AVDW, BBHL, BIUG, BDEN"
